,IPO Name,Mainboard/SME,NSE/BSE,Issue Price,List Price,List Gain(%),Current Price,Current Gain(%)
230, Teerth Gopicon Ltd,SME,NSE,111.0,131.25,12.61,319.9,18.243243243243242
231, K2 Infragen Ltd,SME,NSE,119.0,173.25,40.34,76.25,45.588235294117645
232, Jay Kailash Namkee...,SME,BSE,73.0,80.75,16.44,63,-13.7
233, Creative Graphics ...,SME,NSE,85.0,176.25,105.88,159.05,107.35294117647058
234, Aluwind Architectu...,SME,NSE,45.0,47.25,0.0,54.1,5.0
235, Yash Optics & Lens...,SME,NSE,81.0,92.7,11.11,84.0,14.444444444444448
236, TAC Infosec Ltd,SME,NSE,106.0,304.5,173.58,1357.15,187.26415094339623
237, Radiowalla Network...,SME,NSE,76.0,126.15,58.09,75.0,65.98684210526316
238, Aspire & Innovativ...,SME,NSE,54.0,59.3,4.63,39.3,9.81481481481481
239, Trust Fintech Ltd,SME,NSE,101.0,150.4,41.83,78.95,48.910891089108915
240, Blue Pebble Ltd,SME,NSE,168.0,208.95,18.45,195.0,24.374999999999993
241, Gconnect Logitech ...,SME,BSE,40.0,44.1,5.0,23.55,-41.13
242, Vruddhi Engineerin...,SME,BSE,70.0,74.55,1.43,161.2,130.29
243, Naman In-Store (In...,SME,NSE,89.0,118.75,40.45,92.55,33.42696629213483
244, Vishwas Agri Seeds...,SME,NSE,86.0,83.6,-1.16,62.9,-2.7906976744186114
