,Date,Open,High,Low,Close,Index Name
120,24-September-2024,8823.49,8857.73,8721.47,8766.79,BSE REALTY
121,25-September-2024,8760.12,8842.92,8625.45,8828.86,BSE REALTY
122,26-September-2024,8858.22,8906.8,8742.11,8839.08,BSE REALTY
123,27-September-2024,8825.49,8825.77,8608.82,8750.14,BSE REALTY
124,30-September-2024,8636.78,8655.52,8503.8,8592.66,BSE REALTY
125,1-October-2024,8617.7,8625.81,8503.28,8572.44,BSE REALTY
126,3-October-2024,8382.2,8467.0,8163.54,8187.81,BSE REALTY
127,4-October-2024,8178.63,8190.89,7899.93,8057.11,BSE REALTY
128,7-October-2024,8111.76,8153.67,7927.35,7964.24,BSE REALTY
129,8-October-2024,7941.22,8061.7,7914.86,8043.78,BSE REALTY
130,9-October-2024,8131.84,8264.91,8036.42,8221.64,BSE REALTY
131,10-October-2024,8282.18,8341.62,8173.19,8187.18,BSE REALTY
132,11-October-2024,8221.17,8221.17,8092.72,8126.36,BSE REALTY
133,14-October-2024,8172.93,8273.26,8125.01,8250.74,BSE REALTY
134,15-October-2024,8302.49,8445.84,8200.03,8421.31,BSE REALTY
135,16-October-2024,8477.99,8491.38,8343.67,8475.38,BSE REALTY
136,17-October-2024,8497.04,8510.65,8144.73,8156.79,BSE REALTY
137,18-October-2024,8137.3,8217.98,8004.08,8188.61,BSE REALTY
138,21-October-2024,8237.62,8274.29,8040.25,8064.29,BSE REALTY
139,22-October-2024,8061.44,8061.44,7768.5,7798.88,BSE REALTY
140,23-October-2024,7764.83,7843.43,7614.31,7795.26,BSE REALTY
141,24-October-2024,7820.11,7904.05,7690.64,7700.86,BSE REALTY
142,25-October-2024,7717.22,7743.77,7476.75,7613.15,BSE REALTY
143,28-October-2024,7577.15,7785.03,7517.04,7719.57,BSE REALTY
144,29-October-2024,7756.32,7838.5,7648.2,7832.37,BSE REALTY
145,30-October-2024,7774.58,7921.77,7744.4,7825.67,BSE REALTY
146,31-October-2024,7799.71,7866.36,7740.23,7808.73,BSE REALTY
147,1-November-2024,7895.37,7927.97,7837.53,7879.17,BSE REALTY
148,4-November-2024,7888.93,7888.93,7626.55,7643.08,BSE REALTY
149,5-November-2024,7631.97,7719.55,7543.7,7695.08,BSE REALTY
150,6-November-2024,7780.76,7961.4,7751.29,7901.33,BSE REALTY
151,7-November-2024,7945.66,8015.36,7774.37,7786.49,BSE REALTY
152,8-November-2024,7845.19,7845.19,7538.22,7554.3,BSE REALTY
